用户名,UID,IP归属地,楼层,时间,评论内容
Love蓝因,99206378,云南,5961,2025-06-17 18:26:28,这…，这是海瑟音？怎么看的像李素裳，而且还是崩坏三版的感觉
梦造qaq,368476735,吉林,5958,2025-06-17 18:24:49,海瑟音大人，我是您的小鱼苗啊
蛋卷二世,316394684,河北,5957,2025-06-17 18:24:46,是你米浴！
遐思冥蝶,286425182,上海,5954,2025-06-17 18:24:40,太好看了，希望特效好些吧
7不7芒果,397047200,江苏,5951,2025-06-17 18:24:20,李素裳嘛有点意思
遐思冥蝶,286425182,上海,5946,2025-06-17 18:23:07,许愿0+1
好游戏原神萌新,298538494,江西,5939,2025-06-17 18:21:28,so 明天还有吗？快没票子了
AAA猫猫糕批发商,411669662,江苏,5934,2025-06-17 18:20:42,官方可以把她做的好看一点其实，有点像李素裳
辉晟愁,363265863,浙江,5929,2025-06-17 18:19:42,这不是灵砂吗头简直一模一样
氵骨稽,75688849,山东,5923,2025-06-17 18:19:00,是一个虾仁不眨眼的人
周生辰12138,427348493,云南,5908,2025-06-17 18:15:12,哇塞，是大薇老师
梦榖,426656335,浙江,5900,2025-06-17 18:13:04,海瑟音都出了，我的刻律德菈还会远吗？
不足有余,76688293,河南,5888,2025-06-17 18:09:58,爷是灰色鱼苗，畅游在靡靡瑟音的海里
elisay,414001698,广东,5885,2025-06-17 18:08:29,好像素裳啊
安义秭归,309499310,山西,5877,2025-06-17 18:06:08,灰色的小鱼苗…新称呼+1
u涉及到IP,435789874,江苏,5875,2025-06-17 18:05:43,是这个拼好人吗
庙口,190849474,湖南,5870,2025-06-17 18:05:24,素裳还是希儿，你猜
水涧月,289875465,安徽,5864,2025-06-17 18:05:06,素裳+芽衣=海瑟音
珖茪,394212215,广东,5856,2025-06-17 18:03:22,
日常苦恼的小鼠,409697681,湖北,5853,2025-06-17 18:02:40,
孟婆呵呵呵,405651440,青海,5835,2025-06-17 17:57:43,第一眼幻视SP李大枕头
竹秋初七V8,380425748,山东,5821,2025-06-17 17:53:09,素裳的脸，希儿的衣服配色，镜流的腿，白露的背景板，灵砂指导的动作
芙芙即为正义,304774588,四川,5803,2025-06-17 17:48:27,开拓者，你疯狂刷新的样子真的很欢愉
你们的忠心啊,377978959,江苏,5802,2025-06-17 17:48:12,好看好看
将帅之才,261720482,安徽,5800,2025-06-17 17:47:55,有点李素裳和阮梅的味道
黎沐tan梦,335205690,四川,5795,2025-06-17 17:45:40,下半希儿加上半素裳???
散落的樱花不需要勇气,316581059,广东,5786,2025-06-17 17:43:46,可惜不是记忆dot
夏目灬钰,5018086,江苏,5784,2025-06-17 17:43:26,这个人怎么这么眼熟？
啊哈真的是太有乐子了,395231903,海南,5781,2025-06-17 17:43:11,这个素裳看起来就很聪明
贵仁本仁,320737065,江苏,5770,2025-06-17 17:39:23,我有话说
君霖曦灬,175122715,福建,5768,2025-06-17 17:38:36,
小舟汐dd,378370843,广东,5765,2025-06-17 17:37:49,咦？只有一个新角色吗？好久没有四星角色了啊
冠笄皆伶人,340229317,福建,5752,2025-06-17 17:35:00,虽然······但是······超链图片
辉辉灰灰灰灰,285764321,陕西,5751,2025-06-17 17:34:56,计划不变
屁桃peach,376836567,浙江,5745,2025-06-17 17:33:39,枕头，灵砂，希儿，三个愿望一次满足
蓦旦,361100544,四川,5741,2025-06-17 17:32:14,怎么希里希气的
雪花爱吃白糖,282714024,广东,5734,2025-06-17 17:29:28,你们说海瑟音会不会类似隔壁的心海一样是个奶，但同时还是可以辅助上dot加上dot增伤且可以回点加速，然后组成卡黑海霍dot队
Bline秋辞,291751921,山西,5720,2025-06-17 17:25:50,有些情绪，是该说给，懂的人听～
金灿灿小黄叽,376600855,上海,5712,2025-06-17 17:22:59,拼好人？
星空迷彩055,247431667,江苏,5707,2025-06-17 17:22:04,李素裳你怎么穿的希儿以前的衣服？
不要再黑塔了l,396643406,辽宁,5706,2025-06-17 17:21:59,
wind呀,204608216,辽宁,5695,2025-06-17 17:19:54,立绘虽然有点缝合但确实好看，建模别崩啊，我想的是建模可以更好看，毕竟立绘画的角度确实很像素裳
咆哮吧聚力家炉,301700517,四川,5685,2025-06-17 17:18:28,我嘞个海的女儿，我嘞个希儿衣服。这不就是翁法洛斯希儿同位体吗
恒陷,273508516,江西,5677,2025-06-17 17:16:34,zy的大手伸到这里了嘛，干得好啊
栗枝2333,279932660,湖南,5671,2025-06-17 17:15:34,一些卡芙卡dot队友立绘（整活，请勿当真，非引战，无任何隐喻，暗示，本人身体较为健康，精神状态良好……省略超长叠甲）
橘橘橘之猫,330777804,贵州,5669,2025-06-17 17:14:50,有种拼好饭既视感
想当莉娅的老公,435036626,陕西,5663,2025-06-17 17:13:46,你咋长得那么像裳裳啊？😳😳😳😳😳
巴尔耶布,291496411,河南,5654,2025-06-17 17:12:03,怎么感觉脑子里冒出来一个词，缝合崩？
ALess,5915849,山西,5649,2025-06-17 17:11:18,这个发型第一眼后崩芽衣
九重凜析,338442183,黑龙江,5648,2025-06-17 17:10:58,可惜了又是短裙，只能说理解毕竟长裙建模容易穿模，但确实还是期待过
阿旺awa,334948828,安徽,5647,2025-06-17 17:10:56,怎么感觉有点像几个角色拼出来的呢？（李素裳，希儿，灵砂，白露）
栀恣OvO,316653908,上海,5645,2025-06-17 17:10:31,这下好了，又多了一个称呼，灰色的小鱼苗
星辰序曲,310596940,湖南,5644,2025-06-17 17:10:30,拼好角
艾殇璃茉,170651577,浙江,5640,2025-06-17 17:09:17,黑化版阮梅？
嘉夜黎,312150193,新疆,5635,2025-06-17 17:07:44,不知道为什么。。感觉剧情里的剪影和立绘不像一个人。我还是觉得剪影好看。
栀恣OvO,316653908,上海,5634,2025-06-17 17:07:34,好漂亮
雾月永漏,439479038,重庆,5628,2025-06-17 17:06:08,那么下两个新up就是白厄和海瑟音咯
伱猜猜看,279171754,湖北,5618,2025-06-17 17:04:09,靠，我还以为这会是伊甸姐呢，不是那我缺的爱伊这块谁给我补啊啊啊啊啊啊啊啊啊啊啊啊啊
赛博癫痫患者,194241976,福建,5613,2025-06-17 17:03:02,祖传腿环呢？！！！
怎么好玩怎么玩,439486727,湖北,5610,2025-06-17 17:01:49,手上和腿上都有黑丝！！！
去港口整点薯条吃,383529085,重庆,5606,2025-06-17 17:00:41,这人设设定，也是吃上崩铁拼好饭了
阿bing爱喝可乐,332842469,黑龙江,5599,2025-06-17 16:59:05,"#海瑟音👑 女王风范👸#
#海瑟音🎶 美神降淋🥰#
#海瑟音🎤 海洋半神😘#
#海瑟音🎵 发表新专辑《如何挂裂伤》🎉#
#海瑟音📖 第130次首谈效果命中的重要性💅#
#海瑟音👑 女人中的女人💃#
#海瑟音📢 首次回应进dot队传闻👂#
#海瑟音🛡️ 庇护翁法罗斯人民#
#海瑟音🌟 点赞后秒取消👍→❌#
#海瑟音😭 哭的妆都花了💔#
#海瑟音⚔️ 以一敌六万💪#
#海瑟音🙌 表示清者自清#
（转自B站 忆者-大黑鹅）"
爱吃醋的希儿a,286455741,广东,5595,2025-06-17 16:58:25,第一眼苍玄，而后越看越像素裳
原魔协会会长,322259639,山东,5591,2025-06-17 16:57:30,什么 希儿 灵砂 结合体
缓冲中69%,75458926,江西,5586,2025-06-17 16:56:49,"分六根了，我的天呐海瑟音,你重整旗鼓（指重振dot荣光）,衣服收好。遐蝶，你大义灭亲（指同为量子镰刀）,最是不易,他的镰刀,留给你了。"
这不是童话,332507126,河北,5585,2025-06-17 16:56:08,李素裳，是你吗
noShit,345931212,陕西,5583,2025-06-17 16:55:11,省流:缝合怪
AADSS,353322791,辽宁,5582,2025-06-17 16:55:05,怎么感觉有点儿像芽衣？
惚悠umbra,325872483,辽宁,5577,2025-06-17 16:54:39,这张脸真的好像李素裳
不洁的孩子,256995212,新疆,5576,2025-06-17 16:54:31,这人山人海的长相，不会真是记忆拼好人吧？
槭橇樗,391472818,上海,5573,2025-06-17 16:54:22,回炉重造，和想象的气质有差距。人山人海的。海浪中迎风破浪的感才对。
Re0117,344647110,安徽,5571,2025-06-17 16:54:04,
YLRH,352384321,广西,5566,2025-06-17 16:53:23,像某位李素裳
梦璃畅雪,270927081,广西,5565,2025-06-17 16:53:22,🥵瑟音？
沐晨晚风,279441872,四川,5560,2025-06-17 16:51:41,太好了，这个新角色有老角色的一份
斗地主呢吗丁啉,368526177,福建,5559,2025-06-17 16:51:37,感觉像素裳SP
无根的种子,408391426,江苏,5558,2025-06-17 16:50:59,许愿海瑟音不歪
月见酒sjc,186245939,江苏,5546,2025-06-17 16:48:54,是希儿
天燐,159891603,浙江,5544,2025-06-17 16:48:38,感觉跟之前那个拉提琴的剪影差距好大，
天晴也要撑伞呀,77300988,重庆,5540,2025-06-17 16:47:03,计划有变孩子们，不抽丝柯克了，我弟弟提醒我有新的投资方向
不知道起什么名字嘛,179207001,北京,5536,2025-06-17 16:46:21,物理虚无？是大卢卡
W托邦,203117205,安徽,5535,2025-06-17 16:46:10,🥵🥵🥵
星空者,74249602,山东,5522,2025-06-17 16:43:05,像芽衣穿了希尔的衣服加了两条袖子
阿楠想要刃,344226911,广东,5516,2025-06-17 16:40:54,说实话，他的角色立绘但凡拉小提琴的动作也行呀
Lee丶狂三,257783695,四川,5514,2025-06-17 16:40:41,黑大帅的审美，让我欲罢不能
上思晚慕,342001814,广西,5508,2025-06-17 16:39:20,什么拼好人
我推星野爱,261507697,贵州,5494,2025-06-17 16:35:41,dot玩家们，有福了，新的物理虚无队友，有望把失去的东西都拿回来的实力吗，还是祝愿大家都能不歪
夜雨萧湘,236103978,重庆,5493,2025-06-17 16:35:41,这不是小李子吗
下午三时,382576864,沙特阿拉伯,5483,2025-06-17 16:33:47,是你 珊瑚宫希儿
凌光哟,311554159,江苏,5479,2025-06-17 16:33:20,
用心取的名字已存在,360500216,广东,5463,2025-06-17 16:29:39,没玩过崩三也觉得像素裳…
被偷吃的小饼干,81893342,广东,5462,2025-06-17 16:29:07,怎么和差分宇宙里面的不一样啊，我更喜欢那个齐刘海的海瑟音
启明172966676,275472083,河北,5457,2025-06-17 16:28:25,May the next feast be eternal愿下一场宴会成为永恒
卡妈最爱我,215588926,英国,5454,2025-06-17 16:28:15,你说这是鳞渊境得角色我也信的
红纤云雨,448903040,新疆,5448,2025-06-17 16:27:09,感觉好奇怪啊，差分宇宙里的挺好看的
Formlessspawn,364201280,,5443,2025-06-17 16:25:54,这不就是希尔、素裳、灵砂结合体，那晚三人喝醉了……
狸狸232,404510924,河南,5439,2025-06-17 16:24:36,没有预期的感觉
AzureEmpyrean,183084187,湖北,5437,2025-06-17 16:24:23,中配是塞西莉娅大人的cv
onkytx,162641656,湖北,5430,2025-06-17 16:22:33,海瑟音是上半？那下半是刻律德拉？从以往来看，下半角色强度都不高呀
无中生友xxx,410869925,辽宁,5423,2025-06-17 16:20:35,那明天是不是刻律德菈了嘿嘿哈哈
鳞鸿更仗谁托,413710179,四川,5410,2025-06-17 16:18:01,计划有变
栗子糊糊,356020128,广东,5409,2025-06-17 16:17:38,那一晚，素裳和希儿都喝多了……
蓝梦跑得快,449895065,广西,5397,2025-06-17 16:14:48,确实很瑟
为了糯米,222973320,广东,5388,2025-06-17 16:12:19,"虽然下海了，但这个游戏是12＋，不能H也不能se，所以海瑟因Haiseyin 变成了爱音aiyin
她是斩杀万人的战将，所以可以叫她爱音将。
海洋泰坦喜欢沐浴，所以她的名号可能是千澡
法吉娜是蜜酿的主人，所以含糖量一定很高。
所以，可以组一辈子的dot队吗？"
黑塔女士的万分之一,20694412,浙江,5387,2025-06-17 16:12:09,海瑟音，还真的在海里啊，来了，你来拯救dot队了吗？
黎明不觉若雨,276292255,福建,5378,2025-06-17 16:10:00,素裳的脸，希儿的衣服，灵砂的姿势，白露的背景。你也是虚构史学家捏出来的吗
苏九散,342793323,新疆,5377,2025-06-17 16:09:48,救救dot
てんし,82050667,江西,5374,2025-06-17 16:08:56,衣服有点像希儿的感觉
柒玥胤玥,349400668,浙江,5372,2025-06-17 16:08:31,饿…就我注意到黑丝是破的嘛
好昵称被水取了,315493181,吉林,5357,2025-06-17 16:05:00,完了，我怎么把“瑟”读成“洛”了
飞天蚂蝗吸一个毁一个,4949031,广西,5352,2025-06-17 16:04:12,我们仍未知道希儿同款色系衣服还有多少套，看起来留给mhy的颜色不多了。
duckush,379382259,上海,5349,2025-06-17 16:03:32,仙舟人？
裴筱睿,274268299,甘肃,5348,2025-06-17 16:03:30,没绷住
唯我独尊伊埃斯,302566231,河北,5342,2025-06-17 16:02:03,抱歉，不小心把海瑟音的丝袜弄破了，我的问题，不好意思
W托邦,203117205,安徽,5337,2025-06-17 16:01:10,
卡布蕾诺女士的恨天高,374390165,江苏,5333,2025-06-17 16:00:11,那一晚 蕾耶拉和李素裳都喝醉了…
晟慕啊,364681244,山东,5329,2025-06-17 15:59:39,这个是……希儿新皮肤
零氪战神暴揍氪金老六,446847865,,5322,2025-06-17 15:57:47,缝合怪，没创新了吗？
番茄肉肉,256885357,河南,5321,2025-06-17 15:57:41,所以刻律德菈什么时候发
慢晐,217385919,安徽,5315,2025-06-17 15:57:12,这是从哪捏的灵沙和希尔？
用户注销了,352398638,山西,5314,2025-06-17 15:57:02,究竟是希儿·没有性抛弃了布洛妮娅，还是李素裳抛弃了桂乃芬，让我们尽情期待3.5海瑟音剧情
要叫什么昵称才好呢,303752043,黑龙江,5313,2025-06-17 15:57:02,这个脸怎么那么眼熟？
爱嗦泡面的凯文,404915395,中国香港,5306,2025-06-17 15:54:39,就没人觉得像梅吗。。。。
瑕蝶泡芙,442845988,湖南,5304,2025-06-17 15:54:32,我的小鱼你醒了，还认识早晨吗？
轻喃羽,259072429,广东,5298,2025-06-17 15:53:43,好怪，是因为是拼好角吗，感觉没差分宇宙的好看
月下遛猫O,6137869,浙江,5297,2025-06-17 15:53:28,挺好看的，就是有点……娶一个等于娶了一群，会不会有点辛苦
天穹小游侠,275472964,广东,5277,2025-06-17 15:49:39,怎么有一股素裳的味儿？
初阳7YL,274236522,广西,5268,2025-06-17 15:47:45,米!我的大米洗澡!
异医,276503368,辽宁,5261,2025-06-17 15:46:39,星的外号又增加了，在灰宝，小小灰之外又被称为灰色的小鱼苗
怎么啥都重名呀,371676531,贵州,5257,2025-06-17 15:45:40,不知道为啥感觉这衣服的披风好像希尔的，不过没关系，只要肯来dot队，咱们就是好姐妹
saber别歪,379086015,浙江,5253,2025-06-17 15:45:02,
一号未知白,375937795,上海,5250,2025-06-17 15:43:54,
免费的劳动力,398064123,山西,5249,2025-06-17 15:43:42,"海瑟音立绘上的文字：
愿下一场欢宴永不落幕。
May the next feast be eternal."
似与暮色沉溺,376490711,云南,5237,2025-06-17 15:41:49,嗯…立绘不算丑，就是有点失望
一只路过的小三月,312600288,河北,5219,2025-06-17 15:39:21,挺对我xp的，但是我要在昔涟的卡池开之前，抽个0+1白厄和6+1Saber。dot队还是算了，2.0脑子一热，抽了个黑天鹅，现在还在后悔。祝福一下想抽海瑟音的开拓者10连双金吧。
溼谞,438522745,湖南,5205,2025-06-17 15:35:37,开始玩拼好图了吗
超脱提瓦特的旅行者,426482723,黑龙江,5200,2025-06-17 15:35:10,清冷，不像伊甸的典雅
孤蝣,5779592,广西,5194,2025-06-17 15:33:05,我咧个dot经典待遇，卡妈这么热门的角色让你做这么弱，dot的其他角色也是各种问题。海瑟音跟之前的剪影感觉就是两个人，各种其他角色的既视感，dot招谁惹谁了？
轮回原理,276553812,广西,5193,2025-06-17 15:32:50,怎么感觉和之前的剪影给人的印象有点不一样
迷雾牧灵,404615499,山东,5181,2025-06-17 15:30:13,
吃啥呢给我来点,271154861,江苏,5169,2025-06-17 15:27:31,把各个部位排列组合又是一个新角色，拼好角
Cyan咸鱼,377228703,湖南,5157,2025-06-17 15:25:26,这是李素裳吗？
本人星厨爱好社交,330494398,安徽,5156,2025-06-17 15:25:21,外貌不做评价，等剧情出来看看人物性格
采膊文腺似,394090371,河南,5154,2025-06-17 15:24:30,素常你怎么偷穿希儿的衣服！
垃圾桶戦神,243248141,河南,5152,2025-06-17 15:24:26,这得细看
辝阙,159555500,江苏,5149,2025-06-17 15:23:53,我一般不用人山人海去形容一个人
澍霂,279780359,甘肃,5148,2025-06-17 15:23:31,@墨菲非霏 是这个吗，奥飞老弟
景秋eos,390726145,新疆,5146,2025-06-17 15:22:51,李大枕头的脸希儿的上半衣大黑塔的下摆
坠兔月落,340347345,河南,5141,2025-06-17 15:22:22,只需等待
青赤小浣熊,324332902,广东,5140,2025-06-17 15:22:18,难绷，有点我抄我自己
在下正是星云,291032012,黑龙江,5136,2025-06-17 15:21:26,新一代的拼好人吗
伊酱针灸术已出神入化,278197167,上海,5135,2025-06-17 15:20:51,
搞得不喜欢,365633111,安徽,5125,2025-06-17 15:19:30,好敷衍的角色，像缝合怪
雪知春cc,371098085,浙江,5117,2025-06-17 15:18:18,我勒个素裳SP啊！
JavierLu,315425266,上海,5115,2025-06-17 15:17:55,我就知道，要开始分叉叙事了……
第一昵称改成,337535369,广西,5100,2025-06-17 15:15:01,我咧个拼好崩
喵喵琉璃,162447937,广西,5095,2025-06-17 15:14:27,
筱星若,4868316,辽宁,5094,2025-06-17 15:14:21,物理素裳……打流血的？嗯？有点熟悉……难道是生物（
胡堂主招客啦,292869872,广东,5088,2025-06-17 15:13:47,计划有变，先抽海瑟音
夜樱风知白,81461620,黑龙江,5082,2025-06-17 15:12:06,物理配虚无，会赢吗？
雾里物理勿理物理,333639590,山东,5076,2025-06-17 15:11:02,等了一年的卡妈dot队友终于来了吗
落日和黄昏是未完待续,252547574,江苏,5074,2025-06-17 15:10:50,@胡愿甘雨厨都抽到甘雨 好涩
乾坤小安,320401570,上海,5065,2025-06-17 15:09:18,我怎么没在评论区找到拼成一个环的黄金裔啊（）
爱了爱了爱了爱了爱过,180332492,广东,5038,2025-06-17 15:03:38,继续就等爱莉了
MoLnZqbSKIXFoGXrRau,268424445,江苏,5023,2025-06-17 15:01:33,这不是李素裳抢了希儿的衣服黑天鹅的hs灵砂的姿势还有白鹿的背景吗
娜酱OvO,350656420,河南,5022,2025-06-17 15:01:31,球球你了再生一个吧，大家什么都会做的
Rannou,400880401,湖南,5020,2025-06-17 15:01:15,这个齐刘海好像灵砂
三修麦迪武,308271128,天津,5016,2025-06-17 15:00:55,这不是梳着素裳发型，穿着希儿衣服，摆着灵砂姿势的黑丝阮梅吗
傲娇小蜜桃,161235097,广西,5014,2025-06-17 15:00:49,融合战士
雪花儿茶,313538541,北京,5007,2025-06-17 14:59:36,"翁法罗斯文字：
May the next feast be eternal. 
愿下一场盛宴永不落幕。"
刻晴不是猫娘,272620776,上海,4996,2025-06-17 14:58:35,好涩
古树旋律,6704244,北京,4994,2025-06-17 14:58:12,苍玄？
月白浅韵,288245855,辽宁,4987,2025-06-17 14:57:00,像素裳加希儿加灵砂，还有这照片是你吗？
尼伯龙根梦歌,289364148,江苏,4958,2025-06-17 14:52:43,素裳的脸，希儿的衣服，灵砂的姿势，拼好音
LiecounyA,320985074,吉林,4943,2025-06-17 14:50:07,
哈赛格特,377761927,海南,4942,2025-06-17 14:50:02,看着像接头霸王。
小鸟游鲨鲨,249708370,湖北,4940,2025-06-17 14:49:59,崩三李素裳，你怎么穿着崩铁希儿的衣服
蓝色的眼泪,307920015,江苏,4930,2025-06-17 14:47:58,崩三的李素裳？而且这立绘怎么一股接头霸王的感觉？
百万老阿姨i,185708944,四川,4919,2025-06-17 14:46:42,崩铁真的挺好的，女角色我只觉得好看，不会有那种不适感。男角色虽然还是没啥强度但是饭管饱，有被爽到
周瑞贤,382914617,山东,4916,2025-06-17 14:46:33,四星的感觉
千叶若黎,284697099,吉林,4914,2025-06-17 14:46:17,怎么感觉有一种故人之姿
杨桃树下,18774024,湖南,4912,2025-06-17 14:46:01,青春dot女子不会爱上半神海瑟音
安苢,338727731,广东,4911,2025-06-17 14:45:29,姐姐好美好美
Rannou,400880401,湖南,4909,2025-06-17 14:45:11,没有差分宇宙那个惊艳我，对比一下这个好一般
现山,308175226,广东,4894,2025-06-17 14:43:14,素裳的脸+阮梅的表情+希儿衣服配色+灵砂身姿+白露背景板，我嘞个拼好人
夏一鸣1,304079868,江苏,4885,2025-06-17 14:41:56,素裳的脸、灵砂的姿势跟神情，希儿的衣服
恣意妄念,261741150,河南,4883,2025-06-17 14:41:49,你把伊甸的脸p上都夸你p的好，结果安了个李素裳的头
QYZL,307737078,安徽,4872,2025-06-17 14:39:09,太眼熟了！
往生堂第七十七代尸体,323240970,江西,4867,2025-06-17 14:38:21,"⚆◡⚆！
……
⚆◡⚆？
姐姐，你很像我认识的一群人，那群人叫：希儿、白露、素裳、花火、卡芙卡、灵砂、饮月、镜流、"
蒸的是空铭,244749447,,4863,2025-06-17 14:37:40,她说的灰色的小鱼苗，该不会是我们吧？
蓬莱寺九霄lk,276348073,山东,4856,2025-06-17 14:36:57,超级拼装
蜚绯斐霏,379116717,山东,4834,2025-06-17 14:34:04,是不是要踢掉黑天鹅了？所以牢鹅引导我们来翁法罗斯就是为了带我们找到dot队售后吗？海瑟音可以主动触发dot吗？如果可以的话就好了
卡卡娃夏,421085164,广东,4833,2025-06-17 14:33:40,黄泉又补强了
藿藿小哭包,290462683,陕西,4831,2025-06-17 14:33:38,海瑟音来了 dot队终于不要等待了
宝宝泥是个小蛋糕,307780013,安徽,4828,2025-06-17 14:33:27,我刚看还以为三蹦子李素裳加崩铁希儿呢（
时崎狂三Iloveyou,258102758,山东,4824,2025-06-17 14:33:02,这简直就是某6个加起来合体了。
凯特卡斯兰娜,196521021,安徽,4823,2025-06-17 14:32:55,有点像元素缝合
少女の终呻,52339066,四川,4810,2025-06-17 14:30:36,君の海瑟音
8524796,428210845,江西,4787,2025-06-17 14:26:52,神秘珊瑚女子
吾王赛高FSN,107121972,北京,4783,2025-06-17 14:26:19,
皮卡皮卡e,227273590,上海,4777,2025-06-17 14:24:45,有点难评，怎么像是几个角色的集合体，很怪。
DJ巴帝巴帝,327117696,青海,4775,2025-06-17 14:24:07,这个是?拼好人?！那个人才设计的
申鹤姐姐全是爱,206834469,江苏,4773,2025-06-17 14:23:59,真就全员五星啊
栈zzz,432274346,江苏,4772,2025-06-17 14:23:51,好眼熟的感觉
老米爱暗改,387312150,山东,4770,2025-06-17 14:23:22,能不能辅助黄泉啊，二弟有点高兴但是经济实力有限，作用不大只能跳了
无人不识泽瑞,401136115,四川,4765,2025-06-17 14:23:09,dot专拐嘛，那黄泉能用吗
dixsept,318703164,北京,4745,2025-06-17 14:20:42,很失望，立绘像素裳像灵砂像希儿，就是不像预告的剪影海瑟音，人物个性没有凸现，毫无新意，让人感觉很敷衍。翁法洛斯主线快进行半年了，我认为是有足够的资源去优化海瑟音立绘，不知道是怎么通过这张立绘的，像赶工赶出来的。
吾王赛高FSN,107121972,北京,4739,2025-06-17 14:19:53,
吾王赛高FSN,107121972,北京,4729,2025-06-17 14:18:43,
泠云缈,94189065,江西,4724,2025-06-17 14:18:30,到目前为止最喜欢的一个，但想到玩dot和坐牢没区别瞬间放弃了，要不是个dot我都抽满了
银色de黎明,297048964,山东,4713,2025-06-17 14:16:57,难道，白厄的队友来了？
伟大笑容识女士,358997498,天津,4689,2025-06-17 14:14:13,和想象中有点不一样感觉欧式变中式了
吃胖点啊你,81569105,浙江,4687,2025-06-17 14:14:09,笑死，感觉是AI生成后改的
一世花月语,75771643,江苏,4668,2025-06-17 14:11:29,天天五星，次次五星全是五星，搞毛啊
惟慕堇,378119880,江西,4666,2025-06-17 14:11:05,本来以为是那种蓝色为主题的衣服颜色，和想的相差有点大
馒头夹火腿分队,367023995,山东,4665,2025-06-17 14:10:59,希儿你长大了
一世花月语,75771643,江苏,4655,2025-06-17 14:10:31,你丫出点四星行不行！
lovest流萤,175659100,河北,4654,2025-06-17 14:10:25,可恶啊，不要再动摇我的心了
是小狼吖,297424386,湖北,4650,2025-06-17 14:10:11,
小蒂亚,331971389,广东,4644,2025-06-17 14:09:39,一眼雷电将军的感觉，怎么回事？
伊年年年,337537418,吉林,4632,2025-06-17 14:08:22,感觉刘海好像素裳，甚至也是物理
UnderTheKingABucket,283422834,山东,4623,2025-06-17 14:07:06,这趋势，会不会4.0要主推一个新模式的DOT队
38556286,276848098,湖北,4622,2025-06-17 14:06:33,唉，预制人……唉，拼好人
有翳天,376841516,广东,4621,2025-06-17 14:06:18,丢卡片不过瘾，改丢鱼是吧？(ಡωಡ)
抱着甘雨哭,297831843,广东,4620,2025-06-17 14:06:14,话说，有没有四星角色给我白嫖一下，最好像黄泉带加拉赫那种池子
BoneMan,289147350,江苏,4619,2025-06-17 14:06:04,还是5星啊
不是cherry,301730386,北京,4618,2025-06-17 14:06:03,对了，林朝雨，忽然想起来这个人
五棱镜x,264612048,浙江,4616,2025-06-17 14:05:57,啊老婆
姬子阿姨世界第一可爱,20441602,,4614,2025-06-17 14:05:54,是哈基米
随俗很少,412281714,湖南,4612,2025-06-17 14:05:54,终于能上场
优雅的穹b男孩,244191953,甘肃,4606,2025-06-17 14:05:31,？
天命芜穹,280110753,山东,4601,2025-06-17 14:05:15,物理裂伤，是素裳没错了
寨车菜腿,252769282,山东,4593,2025-06-17 14:04:33,满满的强度不足的样子
糖火烧,299220475,四川,4587,2025-06-17 14:03:50,她黑丝咋自带大破的
天剑丶无名,80757244,陕西,4581,2025-06-17 14:02:38,李大枕头怎么跑翁法罗斯来了？
两颗鱼子酱,354728198,上海,4568,2025-06-17 14:00:44,这个丝袜怎么破了
跳跳yyy,283387913,山西,4553,2025-06-17 13:59:54,海瑟音：我的小鱼你醒了，还认识早晨吗？（doge）
幼儿园F1,378037814,江西,4549,2025-06-17 13:59:33,裁缝的感觉。。。
就不信这名字还能过审,337489814,河南,4528,2025-06-17 13:57:43,hanser阴？
九宫八风,82053710,吉林,4518,2025-06-17 13:56:37,我有牢鹅，能不能进海瑟音队里当队友啊
哟攸,319279013,吉林,4516,2025-06-17 13:56:30,有消息不？海瑟音啥时候出啊
AAA猫猫代购侠一号,407284519,安徽,4510,2025-06-17 13:55:40,哇！破洞黑丝！
世界上最好的流萤,164550952,广东,4491,2025-06-17 13:53:52,那一天，芽衣和希儿都喝醉了
这个人怎么没有名字啊,310067764,辽宁,4484,2025-06-17 13:52:51,才过完两周年你开始整拼接混搭了？没活整了？
终末协理0017,73666559,河南,4478,2025-06-17 13:52:20,少妇素裳
只玩游戏而已,285954424,湖南,4476,2025-06-17 13:52:11,老米够拼的，连撕袜都整出了
S范小花7,327254151,北京,4468,2025-06-17 13:51:26,玉
似曾毕业,289880372,陕西,4451,2025-06-17 13:49:11,我就想问一句，你什么时候出四星？我全部四星都满了，能不能出一个？你把螺丝弄出来也行啊，或者把黑天鹅降级，毕竟黑天鹅现在是真的废
广州市精神科主任,209411265,广东,4446,2025-06-17 13:48:47,这设计的好一般啊
颖荧Ｙ,342343334,湖南,4436,2025-06-17 13:47:52,
爷159,318631190,河南,4434,2025-06-17 13:47:33,看到黑丝洞了
剑落星河裂星痕,388296020,安徽,4429,2025-06-17 13:47:04,斯缇科西亚？看来也有黎明地图！
想当饮月的同学,396843438,安徽,4426,2025-06-17 13:46:51,破洞丝袜
虓缪,184654333,江苏,4425,2025-06-17 13:46:43,"赛琳娜+李素裳+希儿+白露背景
拼好衣"
150015555,73736727,四川,4422,2025-06-17 13:46:32,我觉得像后崩的芽衣
想当饮月的同学,396843438,安徽,4414,2025-06-17 13:45:30,希儿+素裳？？？？
天孺子路,306258605,广东,4412,2025-06-17 13:45:23,一种熟悉感扑面而来
爱玩崩铁的叶岩,381419840,广东,4403,2025-06-17 13:44:08,李素裳头，希儿衣服，灵砂身体
万劫苏,288194652,江苏,4402,2025-06-17 13:44:04,人生人海
